"InventoryID","ProjectID","COCCode","HouseholdType","Availability","UnitInventory","BedInventory","CHVetBedInventory","YouthVetBedInventory","VetBedInventory","CHYouthBedInventory","YouthBedInventory","CHBedInventory","OtherBedInventory","ESBedType","InventoryStartDate","InventoryEndDate","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"4083317","240","XX-500",4,,25,28,1,2,3,4,5,6,7,,2017-08-01 00:00:00,2025-08-01 00:00:00,2019-10-09 00:00:00,2019-10-09 00:00:00,"882",,"FF75838B658C4ED2BD9103C6D5783444"
"4083318","240","XX-500",3,,40,42,9,8,7,6,5,4,3,,2017-08-01 00:00:00,2025-08-01 00:00:00,2019-10-09 00:00:00,2019-10-09 00:00:00,"882",,"FF75838B658C4ED2BD9103C6D5783444"
"4083319","240","XX-500",1,,2,3,0,1,0,1,0,1,0,,2017-08-01 00:00:00,2025-08-01 00:00:00,2019-10-09 00:00:00,2019-10-09 00:00:00,"882",,"FF75838B658C4ED2BD9103C6D5783444"
"4083322","882","XX-500",4,1,30,33,3,0,0,0,0,5,25,1,2017-08-01 00:00:00,2025-08-01 00:00:00,2019-10-09 00:00:00,2019-10-09 00:00:00,"882",,"FF75838B658C4ED2BD9103C6D5783444"
"4083323","882","XX-500",3,3,5,5,0,0,0,0,0,0,5,2,2017-08-01 00:00:00,2025-08-01 00:00:00,2019-10-09 00:00:00,2019-10-09 00:00:00,"882",,"FF75838B658C4ED2BD9103C6D5783444"
"4083324","882","XX-500",1,2,25,25,0,3,0,5,15,0,2,3,2017-08-01 00:00:00,2025-08-01 00:00:00,2019-10-09 00:00:00,2019-10-09 00:00:00,"882",,"FF75838B658C4ED2BD9103C6D5783444"
"4083326","441","XX-500",4,,25,29,1,2,3,5,4,6,8,,2017-08-01 00:00:00,2025-08-01 00:00:00,2019-10-09 00:00:00,2019-10-09 00:00:00,"882",,"FF75838B658C4ED2BD9103C6D5783444"
"4083327","441","XX-500",3,,5,7,1,1,1,1,1,1,1,,2017-08-01 00:00:00,2025-08-01 00:00:00,2019-10-09 00:00:00,2019-10-09 00:00:00,"882",,"FF75838B658C4ED2BD9103C6D5783444"
"4083328","441","XX-500",1,,4,5,0,0,0,0,0,0,5,,2017-08-01 00:00:00,2025-08-01 00:00:00,2019-10-09 00:00:00,2019-10-09 00:00:00,"882",,"FF75838B658C4ED2BD9103C6D5783444"
"4083329","808","XX-500",4,,25,28,1,2,3,4,5,6,7,,2017-08-01 00:00:00,2025-08-01 00:00:00,2019-10-09 00:00:00,2019-10-09 00:00:00,"882",,"FF75838B658C4ED2BD9103C6D5783444"
"4083330","808","XX-500",3,,12,15,5,4,3,2,1,0,0,,2017-08-01 00:00:00,2025-08-01 00:00:00,2019-10-09 00:00:00,2019-10-09 00:00:00,"882",,"FF75838B658C4ED2BD9103C6D5783444"
"4083331","808","XX-500",1,,3,3,0,1,0,1,0,1,0,,2017-08-01 00:00:00,2025-08-01 00:00:00,2019-10-09 00:00:00,2019-10-09 00:00:00,"882",,"FF75838B658C4ED2BD9103C6D5783444"
"4083332","242","XX-500",4,,25,28,1,2,3,4,5,6,7,,2017-08-01 00:00:00,2025-08-01 00:00:00,2019-10-09 00:00:00,2019-10-09 00:00:00,"882",,"FF75838B658C4ED2BD9103C6D5783444"
"4083333","242","XX-500",3,,32,35,8,7,6,5,4,2,3,,2017-08-01 00:00:00,2025-08-01 00:00:00,2019-10-09 00:00:00,2019-10-09 00:00:00,"882",,"FF75838B658C4ED2BD9103C6D5783444"
"4083334","242","XX-500",1,,3,3,0,1,0,1,0,1,0,,2017-08-01 00:00:00,2025-08-01 00:00:00,2019-10-09 00:00:00,2019-10-09 00:00:00,"882",,"FF75838B658C4ED2BD9103C6D5783444"
"4717088","957","XX-500",4,,114,123,10,12,33,55,1,10,2,,2010-01-01 00:00:00,,2020-04-10 00:00:00,2020-04-10 00:00:00,"882",,"FF75838B658C4ED2BD9103C6D5783444"
"4717089","958","XX-500",3,1,2,220,5,3,1,2,5,4,200,1,2010-01-01 00:00:00,,2020-04-10 00:00:00,2020-04-10 00:00:00,"882",,"FF75838B658C4ED2BD9103C6D5783444"
"4717090","960","XX-500",1,1,30,35,5,5,5,5,5,5,5,1,2010-01-01 00:00:00,,2020-04-10 00:00:00,2020-04-10 00:00:00,"882",,"FF75838B658C4ED2BD9103C6D5783444"
