"FunderID","ProjectID","Funder","OtherFunder","GrantID","StartDate","EndDate","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"1287","526",33,"","XYZ123",2012-01-01,,2021-09-02 00:00:00,2014-09-12 00:00:00,"765",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"1291","527",33,"","XYZ123456",2012-01-01,,2021-09-02 00:00:00,2014-09-12 00:00:00,"765",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"1901","791",4,"","689463",2012-01-01,2015-12-31,2021-09-02 00:00:00,2015-03-13 00:00:00,"765",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"1902","792",5,"","458584",2012-01-01,2015-12-31,2021-09-02 00:00:00,2015-03-13 00:00:00,"765",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"4717121","790",8,"","102804",2013-01-01,2024-12-31,2021-09-02 00:00:00,2020-04-22 00:00:00,"882",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"4717122","240",8,"","ABC123",2012-10-01,2020-09-30,2021-09-02 00:00:00,2020-04-22 00:00:00,"882",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"4717123","958",8,"","DEF456",2012-10-01,2021-09-30,2021-09-02 00:00:00,2020-04-22 00:00:00,"882",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"4717124","960",8,"","GHI789",2012-10-01,2021-09-30,2021-09-02 00:00:00,2020-04-22 00:00:00,"882",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"4717125","882",8,"","JKL101112",2012-10-01,2022-09-30,2021-09-02 00:00:00,2020-04-22 00:00:00,"882",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"4717126","441",2,"","MNO131415",2012-10-01,2021-09-30,2021-08-30 00:00:00,2020-04-22 00:00:00,"882",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"4717127","808",3,"","PQR161718",2012-10-01,2022-09-30,2021-09-02 00:00:00,2020-04-22 00:00:00,"882",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"4717128","957",3,"","STU192021",2012-10-01,2022-09-30,2021-09-02 00:00:00,2020-04-22 00:00:00,"882",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"4717129","242",5,"","WXY232425",2012-10-01,2022-09-30,2021-09-02 00:00:00,2020-04-22 00:00:00,"882",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
