"Value","Cohort","Universe","HHType","Population","SystemPath","ProjectID","ReportRow","ReportID"
8,13,10,1,18,-1,"1497",53,12345
3,13,10,1,18,-1,"240",53,12345
3,13,10,1,18,-1,"242",53,12345
3,13,10,1,18,-1,"441",53,12345
33,13,10,1,18,-1,"527",53,12345
3,13,10,1,18,-1,"808",53,12345
2,13,10,1,19,-1,"1099",53,12345
2,13,10,1,19,-1,"1497",53,12345
6,13,10,1,19,-1,"527",53,12345
12,13,10,1,34,-1,"1099",53,12345
2,13,10,1,34,-1,"1497",53,12345
2,13,10,1,34,-1,"240",53,12345
2,13,10,1,34,-1,"242",53,12345
1,13,10,1,34,-1,"441",53,12345
29,13,10,1,34,-1,"527",53,12345
1,13,10,1,34,-1,"808",53,12345
1,13,10,1,34,-1,"957",53,12345
2,13,10,2,0,-1,"1497",53,12345
12,13,10,2,0,-1,"240",53,12345
12,13,10,2,0,-1,"242",53,12345
2,13,10,2,0,-1,"441",53,12345
47,13,10,2,0,-1,"527",53,12345
2,13,10,2,0,-1,"808",53,12345
2,13,10,2,0,-1,"957",53,12345
6,13,10,2,0,-1,"958",53,12345
2,13,10,2,12,-1,"240",53,12345
2,13,10,2,12,-1,"242",53,12345
7,13,10,2,12,-1,"527",53,12345
2,13,10,2,13,-1,"240",53,12345
2,13,10,2,13,-1,"242",53,12345
2,13,10,2,13,-1,"441",53,12345
4,13,10,2,13,-1,"527",53,12345
2,13,10,2,13,-1,"808",53,12345
2,13,10,2,18,-1,"240",53,12345
2,13,10,2,18,-1,"242",53,12345
2,13,10,2,18,-1,"441",53,12345
5,13,10,2,18,-1,"527",53,12345
2,13,10,2,18,-1,"808",53,12345
2,13,10,2,19,-1,"957",53,12345
3,13,10,3,0,-1,"240",53,12345
3,13,10,3,0,-1,"242",53,12345
3,13,10,3,0,-1,"790",53,12345
4,13,10,3,0,-1,"792",53,12345
1,13,10,3,18,-1,"792",53,12345
1,13,10,99,0,-1,"1099",53,12345
4,13,10,99,0,-1,"240",53,12345
4,13,10,99,0,-1,"242",53,12345
2,13,10,99,0,-1,"441",53,12345
135,13,10,99,0,-1,"527",53,12345
2,13,10,99,0,-1,"808",53,12345
19,13,10,99,0,-1,"958",53,12345
18,13,10,99,18,-1,"527",53,12345
2,13,10,99,18,-1,"958",53,12345
17,13,11,1,0,-1,"",53,12345
3,13,11,1,10,-1,"",53,12345
11,13,11,1,13,-1,"",53,12345
4,13,11,1,14,-1,"",53,12345
3,13,11,1,18,-1,"",53,12345
2,13,11,1,34,-1,"",53,12345
